,H3K27ac-ex-r1,H3K27ac-ex-r2,H3K27ac-in-r1,H3K27ac-in-r2,H3K27me3-ex-r1,H3K27me3-ex-r2,H3K27me3-in-r1,H3K27me3-in-r2,H3K4me1-ex-r1,H3K4me1-ex-r2,H3K4me1-in-r1,H3K4me1-in-r2,H3K4me3-ex-r1,H3K4me3-ex-r2,H3K4me3-in-r1,H3K4me3-in-r2
H3K27ac-ex-r1,1,0.844099900836479,0.678032128124965,0.681624490825049,-0.0664501903498596,-0.0598434893029092,0.113697165598111,0.106216025666939,0.798167463440013,0.803666535948647,0.624939987318973,0.599811273872096,0.539109963195031,0.575827505972669,0.516898525571726,0.512282328181706
H3K27ac-ex-r2,0.844099900836479,1,0.689246954576031,0.69715859085977,-0.108671832802086,-0.10182975345296,0.0866907248960688,0.0723140094822605,0.811303837796752,0.826135490319391,0.632735073108716,0.611211092305468,0.52398745908772,0.578828822956071,0.515365558615077,0.519382827967182
H3K27ac-in-r1,0.678032128124965,0.689246954576031,1,0.908932168601489,-0.104146232499383,-0.122542714547796,-0.0991509398309147,-0.112846169249968,0.646555949687056,0.64824821144338,0.801917824667818,0.801826902408198,0.511590849547459,0.553603160469722,0.644548590950222,0.664800204875101
H3K27ac-in-r2,0.681624490825049,0.69715859085977,0.908932168601489,1,-0.141017066639362,-0.163289110823703,-0.129449933475298,-0.148457812848624,0.65261663968791,0.650463204416413,0.809565334027191,0.810003031406027,0.50814346307323,0.557726876448353,0.640792204606313,0.665959813965881
H3K27me3-ex-r1,-0.0664501903498596,-0.108671832802086,-0.104146232499383,-0.141017066639362,1,0.881659657544962,0.676617143538588,0.67704225618166,-0.0364939534584247,-0.0667324769902192,-0.0476386886253465,-0.0938752277978938,0.0529154399467371,-0.0208857027344883,0.00452067237589785,-0.0383403057731632
H3K27me3-ex-r2,-0.0598434893029092,-0.10182975345296,-0.122542714547796,-0.163289110823703,0.881659657544962,1,0.720854410418896,0.72865288105138,-0.0302389032516487,-0.0568633653550455,-0.0626622362023203,-0.108254943378619,0.0346683406745543,-0.0307184095118208,-0.0104628802122649,-0.0520139291579239
H3K27me3-in-r1,0.113697165598111,0.0866907248960688,-0.0991509398309147,-0.129449933475298,0.676617143538588,0.720854410418896,1,0.920034069231909,0.148314687918247,0.131011336123402,0.000411510978194163,-0.0440902545777822,0.131989616243453,0.100985096118665,0.0380526313628691,0.00490066547082293
H3K27me3-in-r2,0.106216025666939,0.0723140094822605,-0.112846169249968,-0.148457812848624,0.67704225618166,0.72865288105138,0.920034069231909,1,0.14224530175001,0.120019860395663,-0.0113966812510951,-0.0598883169926133,0.121081614904046,0.0924446727115731,0.0288253826889017,-0.00312841220733751
H3K4me1-ex-r1,0.798167463440013,0.811303837796752,0.646555949687056,0.65261663968791,-0.0364939534584247,-0.0302389032516487,0.148314687918247,0.14224530175001,1,0.878754998266535,0.680142636073701,0.664808950563078,0.493883206222639,0.553742646547859,0.477913948394462,0.48304417246021
H3K4me1-ex-r2,0.803666535948647,0.826135490319391,0.64824821144338,0.650463204416413,-0.0667324769902192,-0.0568633653550455,0.131011336123402,0.120019860395663,0.878754998266535,1,0.691456998977057,0.680502892488189,0.472623266615868,0.553317232097993,0.469483574263223,0.482153277982565
H3K4me1-in-r1,0.624939987318973,0.632735073108716,0.801917824667818,0.809565334027191,-0.0476386886253465,-0.0626622362023203,0.000411510978194163,-0.0113966812510951,0.680142636073701,0.691456998977057,1,0.909308082098133,0.439035981578608,0.492526169425908,0.560109637444133,0.590066707704331
H3K4me1-in-r2,0.599811273872096,0.611211092305468,0.801826902408198,0.810003031406027,-0.0938752277978938,-0.108254943378619,-0.0440902545777822,-0.0598883169926133,0.664808950563078,0.680502892488189,0.909308082098133,1,0.408513213566349,0.476339135241592,0.546743713940467,0.584190387889769
H3K4me3-ex-r1,0.539109963195031,0.52398745908772,0.511590849547459,0.50814346307323,0.0529154399467371,0.0346683406745543,0.131989616243453,0.121081614904046,0.493883206222639,0.472623266615868,0.439035981578608,0.408513213566349,1,0.805951289029326,0.752849018825354,0.754206891679562
H3K4me3-ex-r2,0.575827505972669,0.578828822956071,0.553603160469722,0.557726876448353,-0.0208857027344883,-0.0307184095118208,0.100985096118665,0.0924446727115731,0.553742646547859,0.553317232097993,0.492526169425908,0.476339135241592,0.805951289029326,1,0.799305934890404,0.826514335542529
H3K4me3-in-r1,0.516898525571726,0.515365558615077,0.644548590950222,0.640792204606313,0.00452067237589785,-0.0104628802122649,0.0380526313628691,0.0288253826889017,0.477913948394462,0.469483574263223,0.560109637444133,0.546743713940467,0.752849018825354,0.799305934890404,1,0.883971681600395
H3K4me3-in-r2,0.512282328181706,0.519382827967182,0.664800204875101,0.665959813965881,-0.0383403057731632,-0.0520139291579239,0.00490066547082293,-0.00312841220733751,0.48304417246021,0.482153277982565,0.590066707704331,0.584190387889769,0.754206891679562,0.826514335542529,0.883971681600395,1
